SURVEY NUMBER,OTTER SIGNS,NITRATES,PHOSPHATES,SULPHATES,SALINITY,EMC (h),FISHING 
31,1,1.840453384,0.100562588,3303.508772,10.73333333,16.25,0
30,1,1.517496807,0.204289733,2970.175439,13.7,10.05,1
28,0,1.082758621,0.186708861,3478.947368,9,8.09,1
25,1,3.708333333,0.452004219,4982.45614,15.233333,8.53,1
23,1,1.048275862,0.772151899,6057.894737,14.83,9.61,1
21,1,1.082758621,0.722046414,6794.736842,13.85,13.24,1
33,1,1.324137931,0.842475387,4022.807018,11.3,42.56,1
22,1,1.255172414,0.582278481,4821.052632,17.83,14,1
12,1,1.978384419,0.779184248,6233.333333,22.86,26.21,1
16,1,1.358492976,0.489627286,3882.45614,13.7,19.17,0
2,1,0.726436782,0.724683544,8847.368421,20.6,40.68,1
3,1,1.531034483,0.848628692,7426.315789,20.95,21.59,0
4,0,0.979310345,0.806434599,9715.789474,4.26,4.93,0
5,1,1.255172414,0.673699015,7391.22807,19.9,18.83,1
42,1,1.209195402,0.766877637,6566.666667,18.53333333,19.6,1
44,1,1.393103448,0.768635724,9829.824561,20.13333333,10.03,0
18,1,1.645977011,0.160337553,6514.035088,17.03,11.65,1
39,1,3.097030651,0.209563994,9075.438596,23.6,14.66,1
36,1,3.152777778,0.258790436,9601.754386,22.66666667,14.54,1
45,1,1.6,0.520745429,11356.14035,21.76666667,14.08,0
232,0,1.220689655,0.199894515,2452.631579,6.67,2.91,1
223,0,2.056321839,0.151547117,4952.631579,15.8,3.78,0
224,0,0.312643678,0.747538678,5250.877193,17.1,2.89,0
227,0,1.655906769,0.137482419,4198.245614,14.63333333,0.42,1
225,0,0.668965517,0.946202532,3557.894737,17.45,0,0
226,1,3.361111111,0.740506329,5356.140351,18.46666667,0.76,1
233,1,1.324137931,0.664908579,10110.52632,20.43333333,0.78,0
235,0,1.47311622,0.687763713,10250.87719,20.5,0.49,0
236,1,1.427586207,0.648206751,8707.017544,21.3,0.81,0
217,0,0.634482759,0.635021097,17443.85965,4.913333333,0.46,0
202,0,1.865676884,0.768635724,5777.192982,0.024066667,0,0
206,0,1.622988506,0.923347398,6759.649123,0.0254,0,0
209,0,13.96296296,0.151547117,16882.45614,0.022533333,0,0
207,0,1.76091954,0.791490858,6654.385965,0.026166667,0,0
211,0,1.531034483,1.215189873,340,0.02205,0,0
214,0,1.570530013,0.165611814,2409.385965,0.025033333,0,0
215,0,1.655906769,0.121659634,420.5263158,0.02045,0,0
228,0,2.326564496,0.123417722,1128.070175,0.022033333,0,0
229,1,2.287164751,0.179676512,9110.526316,21.36666667,0.61,0
230,0,3.399553001,0.176160338,7882.45614,21.3,0.18,0
502,1,2.184323116,0.213080169,7215.789474,24.46666667,42.54,1
504,1,1.885312899,0.142756681,9566.666667,21.43333333,45.38,1
542,0,1.163218391,0.199015471,9321.052632,19.76666667,30.39,0
510,1,1.577011494,0.851265823,1794.736842,19.16666667,11.89,0
512,1,2.025957854,0.202531646,8689.473684,19.43333333,18.455,1
515,0,2.237021073,0.213080169,6900,12.3,16.71,0
548,1,2.62037037,0.482067511,7040.350877,18.9,31.56,0
555,1,2.613314176,0.29395218,7145.614035,14.96666667,16.42,1
558,0,3.569444444,0.355485232,5768.421053,14.2,26.01,0
559,1,1.855555556,0.429324895,5294.736842,14.85,15.37,1
508,1,1.071264368,0.21835443,10092.98246,20.63333333,17.6,1
536,1,1.714942529,0.225386779,9987.719298,17.23333333,3.91,0
538,1,2.048275862,0.334388186,11110.52632,20.05,23.57,0
544,1,1.793678161,0.165611814,9268.421053,19.53333333,41.13,0
560,1,2.140740741,0.329113924,9864.912281,15.23333333,9.12,1
518,1,1.485057471,0.366033755,3443.859649,4.773333333,16.15,0
565,0,1.255172414,0.30625879,2496.491228,4.76,1.63,1
526,1,2.049904215,0.402953586,3829.824561,8.806666667,9.87,1
530,1,1.209195402,0.308016878,3882.45614,10.60333333,14.91,0
529,1,1.35862069,0.273734177,2926.315789,7.41,4.56,0
602,0,4.101851852,0.373066104,6040.350877,19.76666667,0.03,0
603,0,3.800925926,0.399437412,7215.789474,16.2,0.11,0
601,0,4.240740741,0.348452883,8163.157895,19.9,1.41,0
604,0,2.237021073,0.213080169,6900,12.3,2.04,0
609,1,3.800925926,0.390646976,6496.491228,5.56,1.89,1
613,1,2.681800766,0.297468354,5952.631579,20,1.81,0
614,0,3.24537037,0.383614627,6566.666667,16.43333333,0,0
612,1,3.083333333,0.32559775,5636.842105,19.06666667,0.75,0
617,0,3.476851852,0.323839662,7075.438596,16.53333333,2.94,0
615,0,3.268518519,0.26230661,8128.070175,18.66666667,0,0
608,0,2.097158365,0.13045007,511.754386,0.268333333,0,0
607,0,0.956321839,0.170886076,1143.596491,1.376666667,0,0
606,0,2.023722861,0.220112518,3952.631579,16.13333333,0.02,0
616,0,1.886111111,0.244725738,3496.491228,17.76666667,3.76,0
610,1,1.370114943,0.23769339,2443.859649,11.46666667,2.85,0
611,0,1.324137931,0.11814346,3882.45614,15.8,1.25,0
605,0,1.002298851,0.213080169,987.7192982,1.45,0,0
620,0,1.163218391,0.114627286,2549.122807,4.8,0.8,0
